Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY
Date,,,,,,,,,,,,,,,
2018-03-17,10364.779296875,723.6982421875,,10927.27734375,797.50048828125,,10228.5439453125,718.87646484375,,10895.044921875,787.716796875,,5794715433,1659816915,
2018-03-18,10767.263671875,705.24658203125,,10796.6708984375,722.2070922851562,,9685.44921875,602.3472290039062,,10330.2685546875,722.2070922851562,,8692691488,3516125024,
2018-03-19,11290.6171875,728.3089599609375,240.39056396484375,11364.5224609375,730.2738037109375,243.86547253585832,10700.9423828125,679.0128784179688,238.72865706602394,10924.9560546875,715.6973876953125,242.93232466783832,8803021723,2677610699,109208400.0
2018-03-20,11653.470703125,728.4505615234375,240.7994384765625,11838.7333984375,741.7537841796875,241.43931993748407,10962.2294921875,680.9530029296875,240.1151046054154,11276.251953125,728.3037109375,240.79054257018424,8317404183,2397353232,59757300.0
2018-03-21,11513.4140625,724.2972412109375,240.3373260498047,11886.529296875,767.5504150390625,242.86129581767798,11459.5361328125,713.2109985351562,240.12404123388228,11684.8623046875,730.96728515625,240.75502689543302,7792011636,2296769559,78709600.0
2018-03-22,11285.0380859375,697.78076171875,234.32949829101562,11737.185546875,744.944580078125,238.9508395067697,11059.85546875,675.5171508789062,234.05396933495027,11526.5146484375,724.775634765625,238.09767341060393,7150241252,1969681393,148785900.0
2018-03-23,11444.9423828125,695.5149536132812,229.3348846435547,11444.9423828125,697.9849243164062,235.10271347863127,10738.380859375,657.2637939453125,229.13936456233742,11295.09765625,697.9901733398438,234.77389041514425,7674265515,2057535453,183534800.0
2018-03-24,11172.33984375,678.5272827148438,,11595.17578125,702.94287109375,,11169.220703125,678.0645141601562,,11473.7236328125,699.3211059570312,,7301103022,1675582868,
2018-03-25,10941.7158203125,675.2291870117188,,11185.9013671875,690.2445678710938,,10890.044921875,664.6328735351562,,11101.0498046875,673.7119140625,,5885548534,1482591905,
2018-03-26,10537.5859375,628.9010620117188,235.60928344726562,10977.3603515625,677.50244140625,235.89368124637934,10178.24609375,605.0799560546875,230.5435798686785,10945.1787109375,675.2291870117188,232.96090691781137,7600246780,2103666368,141956100.0
2018-03-27,10088.9560546875,579.7493896484375,231.60113525390625,10573.359375,631.22998046875,237.08453898767965,10009.3681640625,579.607666015625,230.03697466208033,10525.51953125,628.437744140625,236.5513270783424,6927186309,2083906679,129941400.0
2018-03-28,10271.6201171875,576.2800903320312,230.91680908203125,10472.841796875,599.8270874023438,233.4141448412357,10054.306640625,572.6695556640625,229.80590569801302,10093.8369140625,579.9747924804688,231.7344459062011,6372939791,1955260593,146452300.0
2018-03-29,9232.2880859375,497.2811584472656,233.86737060546875,10328.6748046875,582.4954833984375,235.74258958588737,9120.8173828125,497.0043029785156,230.92570066933587,10303.373046875,578.5992431640625,232.06326462842958,8195808505,2538444353,111601600.0
2018-03-30,8884.63671875,508.8552551269531,,9358.5126953125,527.2096557617188,,8613.5810546875,474.8361511230469,,9239.6962890625,497.20001220703125,,8109694050,2421660884,
2018-03-31,8991.6689453125,511.191650390625,,9293.8017578125,539.5726318359375,,8849.822265625,506.6736145019531,,8887.1640625,509.3181457519531,,5870986029,1707062448,
2018-04-01,8824.9501953125,489.46527099609375,,9104.3896484375,516.4407958984375,,8415.74609375,469.09014892578125,,9029.74609375,512.2192993164062,,5843689864,1620685604,
2018-04-02,9153.6865234375,499.33837890625,228.8194580078125,9186.2041015625,508.7431335449219,233.84963225780572,8786.5712890625,486.71734619140625,226.33103148167038,8825.7626953125,489.5838928222656,233.3341578510629,5599671168,1424340331,186286300.0
2018-04-03,9548.2939453125,533.8731689453125,231.75216674804688,9641.8623046875,536.2371215820312,232.23208451320636,9127.048828125,494.8330078125,228.25949367872175,9177.5400390625,500.4845886230469,230.06359934815626,7042916107,1745969958,119956900.0
2018-04-04,8740.7021484375,485.3064880371094,234.2317657470703,9558.4580078125,534.1971435546875,234.94273309818178,8679.7099609375,480.1716003417969,228.04626300306973,9548.6787109375,533.3506469726562,228.1795659911949,6294880800,1642242130,123715300.0
2018-04-05,8696.884765625,489.31060791015625,236.0802459716797,8857.955078125,495.3847351074219,236.96896842670637,8478.099609375,471.9222106933594,234.90712582184682,8734.0830078125,484.54638671875,236.0002370836692,7200283858,1545796306,82652600.0
2018-04-06,8479.8896484375,473.1501770019531,230.8190155029297,8751.529296875,491.58587646484375,235.60921581408772,8400.8779296875,468.2518310546875,229.29041167357283,8702.6181640625,488.6709289550781,234.10729969729962,4813229961,1235768026,179521200.0
2018-04-07,8830.990234375,492.3542175292969,,9009.1796875,502.2507629394531,,8472.4658203125,472.7042236328125,,8472.4658203125,473.2715759277344,,5081312319,1215794765,
2018-04-08,8978.166015625,511.9693603515625,,9087.1513671875,514.4295043945312,,8842.3505859375,492.72222900390625,,8842.3505859375,492.90240478515625,,4668990709,1212452210,
2018-04-09,8600.181640625,506.2077331542969,231.95660400390625,9180.802734375,549.0120239257812,235.36929561281255,8462.0595703125,498.8870849609375,231.0145601956923,9004.75390625,512.4154663085938,232.28542703410102,6216435053,1877850998,105442900.0
2018-04-10,8604.279296875,521.4905395507812,235.64480590820312,8655.80078125,523.8109130859375,236.43578208740075,8501.5322265625,499.3204040527344,233.71629294022804,8631.5673828125,507.3318786621094,234.86272563446352,5378965076,1505644400,103529000.0
2018-04-11,8759.177734375,541.1887817382812,234.40948486328125,8759.177734375,541.1887817382812,236.08028771361523,8588.7998046875,520.2084350585938,234.0806618362465,8615.2451171875,522.4736938476562,234.15174771168842,5834855469,1808873280,91140200.0
2018-04-12,9931.7763671875,620.5634155273438,236.33799743652344,9943.55078125,620.6614379882812,237.28893713950225,8573.4794921875,525.481201171875,235.56481310441114,8742.912109375,540.71240234375,235.7425684752777,11212078427,3171622304,68890500.0
2018-04-13,9952.068359375,621.0431518554688,235.64480590820312,10287.2373046875,661.7727661132812,237.7688660662761,9769.2685546875,607.7159423828125,234.6316761875226,9946.681640625,620.839111328125,237.65332778197418,9786325424,3049222599,85079200.0
2018-04-14,10065.857421875,632.0628662109375,,10260.55078125,645.3550415039062,,9889.0986328125,615.4268188476562,,9925.234375,620.8478393554688,,6543278554,1914648351,
2018-04-15,10497.177734375,670.1040649414062,,10509.744140625,670.1040649414062,,10082.35546875,633.8299560546875,,10082.35546875,633.8299560546875,,6609618144,2175391207,
2018-04-16,10127.330078125,642.3584594726562,237.58224487304688,10545.9755859375,673.462158203125,238.355456460924,9971.361328125,629.364501953125,236.4624726316956,10507.83984375,670.5728149414062,237.28897829408177,7076867056,2210510126,63405300.0
