Date,BTC-CAD,ETH-CAD,SPY
2019-08-08,15831.150390625,292.2985534667969,267.302978515625
2019-08-09,15722.9111328125,278.9779968261719,265.4822692871094
2019-08-10,15048.408203125,274.0007019042969,
2019-08-11,15233.595703125,285.6639709472656,
2019-08-12,15066.451171875,279.668701171875,262.25048828125
2019-08-13,14398.294921875,275.7985534667969,266.328857421875
2019-08-14,13380.9287109375,248.41409301757807,258.4542236328125
2019-08-15,13732.50390625,251.0395050048828,259.1369934082031
2019-08-16,13772.40234375,246.18003845214844,262.9605712890625
2019-08-17,13583.1005859375,246.5087432861328,
2019-08-18,13726.3662109375,258.04547119140625,
2019-08-19,14551.798828125,270.73455810546875,266.128662109375
2019-08-20,14335.01171875,261.7956237792969,264.0893859863281
2019-08-21,13472.2509765625,248.35655212402344,266.2378845214844
2019-08-22,13468.732421875,254.36753845214844,266.1558837890625
2019-08-23,13857.7060546875,259.2419738769531,259.3190612792969
2019-08-24,13527.5,254.69287109375,
2019-08-25,13499.212890625,248.7765350341797,
2019-08-26,13744.16796875,250.38299560546875,262.18670654296875
2019-08-27,13532.556640625,249.13650512695312,261.157958984375
2019-08-28,12980.54296875,231.40130615234372,262.9970092773437
2019-08-29,12633.759765625,225.1933135986328,266.356201171875
2019-08-30,12802.5146484375,225.20022583007807,266.2378845214844
2019-08-31,12868.6279296875,230.45654296875,
2019-09-01,12995.5478515625,228.57400512695312,
2019-09-02,13796.5263671875,237.81103515625,
2019-09-03,14171.9091796875,239.45388793945312,264.6811828613281
2019-09-04,14011.884765625,232.7616729736328,267.68524169921875
2019-09-05,13992.0439453125,230.49935913085935,271.12652587890625
2019-09-06,13636.8525390625,223.85777282714844,271.3358764648437
2019-09-07,13852.8017578125,234.7985992431641,
2019-09-08,13750.5439453125,238.8345184326172,
2019-09-09,13610.892578125,238.5691375732422,271.4725036621094
2019-09-10,13299.9990234375,236.37554931640625,271.4087219238281
2019-09-11,13420.6923828125,235.6584930419922,273.3388366699219
2019-09-12,13754.796875,239.1747589111328,274.2854919433594
2019-09-13,13769.6337890625,240.70297241210935,274.1034545898437
2019-09-14,13766.3134765625,250.0006866455078,
2019-09-15,13675.46484375,250.8239898681641,
2019-09-16,13608.0166015625,261.0074157714844,273.2568664550781
2019-09-17,13562.19921875,276.25408935546875,273.9486999511719
2019-09-18,13561.0185546875,281.0977783203125,274.11260986328125
2019-09-19,13611.212890625,293.3741760253906,274.0943908691406
2019-09-20,13504.4912109375,289.21221923828125,272.79931640625
2019-09-21,13289.7216796875,285.8514404296875,
2019-09-22,13362.6953125,280.7057189941406,
2019-09-23,12903.61328125,267.8001708984375,272.7351989746094
2019-09-24,11414.6640625,222.59878540039065,270.59521484375
2019-09-25,11252.607421875,226.5806427001953,272.1957092285156
2019-09-26,10774.2763671875,221.25523376464844,271.6286926269531
2019-09-27,10927.646484375,231.36399841308597,270.1653747558594
2019-09-28,10918.4990234375,231.1537170410156,
2019-09-29,10727.6728515625,225.6988677978516,
2019-09-30,10983.7353515625,238.20835876464844,271.41827392578125
2019-10-01,11028.66015625,234.4195556640625,268.1898193359375
2019-10-02,11187.294921875,240.87355041503903,263.4524841308594
2019-10-03,11016.5166015625,233.6668701171875,265.6108703613281
2019-10-04,10920.4306640625,235.53094482421875,269.20513916015625
2019-10-05,10854.66015625,234.83233642578125,
2019-10-06,10629.6796875,230.28634643554688,
2019-10-07,10969.423828125,241.0381622314453,268.0435485839844
2019-10-08,10963.619140625,242.5164337158203,263.8822326660156
2019-10-09,11465.6513671875,257.8292236328125,266.3880920410156
2019-10-10,11409.8173828125,254.67987060546875,268.1898193359375
2019-10-11,10985.16796875,241.00184631347656,270.9701843261719
2019-10-12,11008.404296875,238.78121948242188,
2019-10-13,10985.474609375,240.37744140625,
2019-10-14,11076.603515625,247.2799224853516,270.6683654785156
2019-10-15,10835.0341796875,239.5432586669922,273.3480834960937
2019-10-16,10625.7939453125,232.40472412109372,272.9091186523437
2019-10-17,10645.5087890625,233.8626708984375,273.7138671875
2019-10-18,10466.0302734375,227.904052734375,272.5157775878906
2019-10-19,10486.18359375,226.9742889404297,
2019-10-20,10798.75390625,230.54421997070312,
2019-10-21,10789.3740234375,228.93641662597656,274.36328125
2019-10-22,10577.720703125,225.6133270263672,273.4669494628906
2019-10-23,9825.0576171875,212.33352661132807,274.2626647949219
2019-10-24,9795.86328125,211.9948272705078,274.7108154296875
2019-10-25,11310.35546875,237.0584259033203,275.835693359375
2019-10-26,12074.3955078125,234.87413024902344,
2019-10-27,12478.580078125,240.69825744628903,
2019-10-28,12084.3642578125,238.47544860839844,277.3905944824219
2019-10-29,12342.578125,249.19346618652344,277.30816650390625
2019-10-30,12119.798828125,243.15646362304688,278.1588134765625
2019-10-31,12113.8388671875,242.244140625,277.4179382324219
2019-11-01,12185.2978515625,242.0583953857422,279.98785400390625
2019-11-02,12269.3701171875,242.0076141357422,
2019-11-03,12135.8193359375,239.7176055908203,
2019-11-04,12379.9375,245.10366821289065,281.1128234863281
2019-11-05,12289.0478515625,249.0084381103516,280.80181884765625
2019-11-06,12344.248046875,252.65594482421875,280.8658447265625
2019-11-07,12209.150390625,247.64161682128903,281.853515625
2019-11-08,11646.65625,243.6657257080078,282.5486755371094
2019-11-09,11658.166015625,244.74673461914065,
2019-11-10,11977.5634765625,250.6177978515625,
2019-11-11,11592.044921875,245.51910400390625,282.0091247558594
2019-11-12,11669.4072265625,247.3270568847656,282.60357666015625
2019-11-13,11673.326171875,249.49366760253903,282.695068359375
2019-11-14,11538.41796875,246.45361328125,283.1066589355469
2019-11-15,11227.6875,238.67608642578125,285.1552124023437
2019-11-16,11305.3876953125,242.41403198242188,
2019-11-17,11343.078125,244.792236328125,
2019-11-18,10974.439453125,238.4730224609375,285.3655700683594
2019-11-19,10891.607421875,235.5278778076172,285.2832946777344
2019-11-20,10679.6787109375,233.7534637451172,284.22235107421875
2019-11-21,10149.2890625,214.41651916503903,283.76513671875
2019-11-22,9703.353515625,199.8341217041016,284.3960876464844
2019-11-23,9841.0302734375,204.08631896972656,
2019-11-24,9372.228515625,189.93972778320312,
2019-11-25,9506.14453125,194.8504180908203,286.6002502441406
2019-11-26,9578.9013671875,197.67916870117188,287.2496032714844
2019-11-27,10006.5302734375,203.2890472412109,288.530029296875
2019-11-28,9909.8857421875,201.4581756591797,
2019-11-29,10308.0185546875,206.26565551757807,287.4599609375
2019-11-30,10053.5283203125,202.5940704345703,
2019-12-01,9863.2685546875,200.85220336914065,
2019-12-02,9743.00390625,198.34556579589844,285.0180053710937
2019-12-03,9730.3037109375,196.6710662841797,283.1066589355469
2019-12-04,9568.0810546875,193.61383056640625,284.8534545898437
2019-12-05,9814.6123046875,196.6649475097656,285.3655700683594
2019-12-06,10004.185546875,197.7699279785156,287.97216796875
2019-12-07,10016.435546875,197.2048492431641,
2019-12-08,10024.0439453125,200.45147705078125,
2019-12-09,9797.5029296875,196.22433471679688,287.0667419433594
2019-12-10,9632.2275390625,193.57711791992188,286.7465515136719
2019-12-11,9507.8056640625,189.18055725097656,287.56060791015625
2019-12-12,9526.7783203125,191.5106201171875,290.0390319824219
2019-12-13,9573.5927734375,190.8806304931641,290.2127990722656
2019-12-14,9382.6259765625,188.1473388671875,
2019-12-15,9429.5302734375,188.6815185546875,
2019-12-16,9125.708984375,175.885498046875,292.2065734863281
2019-12-17,8738.685546875,161.34242248535156,292.2706298828125
2019-12-18,9543.439453125,174.54881286621094,292.2889709472656
2019-12-19,9453.373046875,169.72752380371094,293.4870300292969
2019-12-20,9491.2998046875,169.696044921875,294.7737121582031
2019-12-21,9454.611328125,168.46080017089844,
2019-12-22,9875.03515625,174.02220153808594,
2019-12-23,9671.1064453125,169.10052490234375,295.2240905761719
2019-12-24,9642.6767578125,169.95779418945312,295.2332458496094
2019-12-25,9572.5771484375,166.3877410888672,
2019-12-26,9491.5380859375,165.68142700195312,296.8048400878906
2019-12-27,9536.4560546875,166.41452026367188,296.73126220703125
2019-12-28,9574.4921875,167.89102172851562,
2019-12-29,9704.8583984375,176.19134521484375,
2019-12-30,9525.9716796875,173.24334716796875,295.09539794921875
2019-12-31,9356.3544921875,168.578369140625,295.812255859375
2020-01-01,9346.5390625,169.79396057128906,
2020-01-02,9070.2490234375,165.43511962890625,298.5785827636719
2020-01-03,9550.185546875,174.45677185058594,296.3178100585937
2020-01-04,9635.7060546875,175.6239471435547,
2020-01-05,9627.375,177.02490234375,
2020-01-06,10072.1240234375,187.0779266357422,297.4482727050781
2020-01-07,10615.7548828125,186.6591644287109,296.6118469238281
2020-01-08,10533.9755859375,184.16275024414065,298.19268798828125
2020-01-09,10292.3916015625,181.5478363037109,300.214599609375
2020-01-10,10658.046875,187.8849639892578,299.3506774902344
2020-01-11,10489.669921875,186.5320281982422,
2020-01-12,10704.5751953125,190.60354614257807,
2020-01-13,10633.3291015625,188.30699157714844,301.4093933105469
2020-01-14,11535.037109375,216.8500518798828,300.9498596191406
2020-01-15,11484.7373046875,216.7722930908203,301.6299133300781
2020-01-16,11377.1689453125,214.391357421875,304.1390075683594
2020-01-17,11666.9482421875,223.14620971679688,305.0856628417969
2020-01-18,11684.9423828125,229.13804626464844,
2020-01-19,11374.23046875,218.1369171142578,
2020-01-20,11294.328125,218.01705932617188,
2020-01-21,11435.6943359375,221.8875274658203,304.4882507324219
2020-01-22,11406.2548828125,221.1304473876953,304.5250549316406
2020-01-23,11037.4609375,213.91949462890625,304.8742980957031
2020-01-24,11103.5927734375,214.3707275390625,302.1631164550781
2020-01-25,11001.5859375,212.04725646972656,
2020-01-26,11314.1328125,221.2032470703125,
2020-01-27,11751.3828125,225.4450225830078,297.31951904296875
2020-01-28,12320.0693359375,232.18182373046875,300.4352111816406
2020-01-29,12295.9384765625,231.0286407470703,300.18701171875
2020-01-30,12563.7099609375,244.0213623046875,301.1612243652344
2020-01-31,12377.8564453125,238.48883056640625,295.6928100585937
